"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @cliff35833: <U+D55C><U+AD6D><U+C5D0> <U+C54C><U+B824><U+C838> <U+C788><U+C9C0> <U+C54A><U+C740> <U+CF54><U+B85C><U+B098><U+C758> <U+B610><U+B2E4><U+B978> <U+D569><U+BCD1><U+C99D><U+C740> covid toe, <U+CF54><U+BE44><U+D1A0><U+B77C><U+ACE0> <U+D55C><U+B2E4>. <U+CF54><U+B85C><U+B098> <U+BC14><U+C774><U+B7EC><U+C2A4><U+AC00> <U+D3D0><U+C5D0><U+C11C> <U+C5FC><U+C99D><U+C744> <U+C77C><U+C73C><U+D0A4><U+BA74>  <U+D608><U+C561><U+C774> <U+C751><U+ACE0><U+D558><U+ACE0> <U+C774> <U+C751><U+ACE0><U+B41C> <U+D608><U+C804><U+C774> <U+C804><U+C2E0><U+CCB4><U+B97C> <U+B3CC><U+C544><U+B2E4><U+B2C8><U+AC8C> <U+B41C><U+B2E4>. <U+B530><U+B77C><U+C11C> <U+D608><U+C561><U+C21C><U+D658><U+C774> <U+C7A5><U+C560><U+B97C> <U+C77C><U+C73C>…",FALSE,0,NA,2020-05-10 06:46:11,FALSE,NA,"1259374156069564416",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dltjsdkzz",6531,TRUE,FALSE,NA,NA
"RT @TinaNart: <U+0E44><U+0E1A><U+0E23><U+0E4C><U+0E17> <U+0E0A><U+0E27><U+0E19><U+0E17><U+0E38><U+0E01><U+0E04><U+0E19><U+0E21><U+0E32><U+0E23><U+0E48><U+0E27><U+0E21><U+0E01><U+0E31><U+0E19><U+0E40><U+0E1B><U+0E47><U+0E19><U+0E2A><U+0E48><U+0E27><U+0E19><U+0E2B><U+0E19><U+0E36><U+0E48><U+0E07><U+0E43><U+0E19><U+0E01><U+0E32><U+0E23><U+0E2A><U+0E21><U+0E17><U+0E1A><U+0E17><U+0E38><U+0E19><U+0E08><U+0E31><U+0E14><U+0E0B><U+0E37><U+0E49><U+0E2D><U+0E2D><U+0E38><U+0E1B><U+0E01><U+0E23><U+0E13><U+0E4C><U+0E17><U+0E32><U+0E07><U+0E01><U+0E32><U+0E23><U+0E41><U+0E1E><U+0E17><U+0E22><U+0E4C><U+0E40><U+0E1E><U+0E37><U+0E48><U+0E2D><U+0E23><U+0E31><U+0E01><U+0E29><U+0E32><U+0E1C><U+0E39><U+0E49><U+0E1B><U+0E48><U+0E27><U+0E22> covid-19<U+0E43><U+0E2B><U+0E49><U+0E41><U+0E01><U+0E48> #<U+0E42><U+0E23><U+0E07><U+0E1E><U+0E22><U+0E32><U+0E1A><U+0E32><U+0E25><U+0E1B><U+0E31><U+0E15><U+0E15><U+0E32><U+0E19><U+0E35>…",FALSE,0,NA,2020-05-10 06:46:11,FALSE,NA,"1259374155993997312",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","s_lism",246,TRUE,FALSE,NA,NA
"RT @ashoswai: In facing #COVID19 crisis, India's performance is worse than Sri Lanka, Bangladesh and Pakistan!  https://t.co/msppdvGpPl via…",FALSE,0,NA,2020-05-10 06:46:11,FALSE,NA,"1259374155989782529",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Amandeep80s",523,TRUE,FALSE,NA,NA
"RT @benq_antonio: #MONTAGNIER ""premio NOBEL lo scopritore dell HIV""(no virologi improvvisati o dottorini ) il #coronavirus sparirà a breve…",FALSE,0,NA,2020-05-10 06:46:11,FALSE,NA,"1259374155708993536",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","noitre32",7,TRUE,FALSE,NA,NA
"RT @nicky_zwan: China's president Xi Jinping 'personally requested WHO hold back information about ... https://t.co/4q7ONyHI9z via @MailOnl…",FALSE,0,NA,2020-05-10 06:46:11,FALSE,NA,"1259374155104792576",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","nicky_zwan",2,TRUE,FALSE,NA,NA
"UNMASKING THE LIES AROUND COVID-19: FACTS VS FICTION OF THE CORONAVIRUS PANDEMIC - London Real https://t.co/KXvK1WwCnL",FALSE,0,NA,2020-05-10 06:46:11,FALSE,NA,"1259374154769297408",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NatalieGSXR",0,FALSE,FALSE,NA,NA
"RT @sunlorrie: Let us know what happens when you replace fossil fuel energy and nuclear power in Ontario with wind turbines and solar panel…",FALSE,0,NA,2020-05-10 06:46:11,FALSE,NA,"1259374154345676800",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","barbara67679790",12,TRUE,FALSE,NA,NA
"RT @GuillaumeDaret: <U+0001F1EB><U+0001F1F7>#Coronavirus en France: 80 décès en 24 heures en France, 26.310 au total (officiel) #Covid_19",FALSE,0,NA,2020-05-10 06:46:10,FALSE,NA,"1259374153926356992",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JoMarFeuil",63,TRUE,FALSE,NA,NA
"@StateDept @SecPompeo #China should agree for any International Probe and allow access to investigate each and ever… https://t.co/YrdSJ7rIZW",FALSE,1,"StateDept",2020-05-10 06:46:10,TRUE,"1258403750290624515","1259374153469235200","9624742","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rakeshgadde",0,FALSE,FALSE,NA,NA
"RT @TinaNart: <U+0E44><U+0E1A><U+0E23><U+0E4C><U+0E17> <U+0E0A><U+0E27><U+0E19><U+0E17><U+0E38><U+0E01><U+0E04><U+0E19><U+0E21><U+0E32><U+0E23><U+0E48><U+0E27><U+0E21><U+0E01><U+0E31><U+0E19><U+0E40><U+0E1B><U+0E47><U+0E19><U+0E2A><U+0E48><U+0E27><U+0E19><U+0E2B><U+0E19><U+0E36><U+0E48><U+0E07><U+0E43><U+0E19><U+0E01><U+0E32><U+0E23><U+0E2A><U+0E21><U+0E17><U+0E1A><U+0E17><U+0E38><U+0E19><U+0E08><U+0E31><U+0E14><U+0E0B><U+0E37><U+0E49><U+0E2D><U+0E2D><U+0E38><U+0E1B><U+0E01><U+0E23><U+0E13><U+0E4C><U+0E17><U+0E32><U+0E07><U+0E01><U+0E32><U+0E23><U+0E41><U+0E1E><U+0E17><U+0E22><U+0E4C><U+0E40><U+0E1E><U+0E37><U+0E48><U+0E2D><U+0E23><U+0E31><U+0E01><U+0E29><U+0E32><U+0E1C><U+0E39><U+0E49><U+0E1B><U+0E48><U+0E27><U+0E22> covid-19<U+0E43><U+0E2B><U+0E49><U+0E41><U+0E01><U+0E48> #<U+0E42><U+0E23><U+0E07><U+0E1E><U+0E22><U+0E32><U+0E1A><U+0E32><U+0E25><U+0E1B><U+0E31><U+0E15><U+0E15><U+0E32><U+0E19><U+0E35>…",FALSE,0,NA,2020-05-10 06:46:10,FALSE,NA,"1259374153427288069",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","pwrssll09",246,TRUE,FALSE,NA,NA
"<U+65B0><U+578B><U+30B3><U+30ED><U+30CA><U+30A6><U+30A4><U+30EB><U+30B9>(COVID-19)<U+306E><U+5F71><U+97FF><U+3067><U+81EA><U+4E3B><U+9694><U+96E2><U+751F><U+6D3B><U+304C><U+7D9A><U+304F><U+4E2D><U+3001><U+4EE4><U+548C>2<U+5EA6><U+76EE><U+306E><U+6BCD><U+306E><U+65E5><U+304C><U+3084><U+3063><U+3066><U+304D><U+305F><U+3002><U+7C73>USWeekly<U+304C><U+300C><U+4ECA><U+5E74><U+8D64><U+3061><U+3083><U+3093><U+3092><U+51FA><U+7523><U+3057><U+305F><U+3070><U+304B><U+308A><U+306E><U+5973><U+512A><U+305F><U+3061><U+300D><U+3092><U+7279><U+96C6><U+3057><U+3066><U+3044><U+308B><U+306E><U+3067>10<U+4EBA><U+3092><U+30D4><U+30C3><U+30AF><U+30A2><U+30C3><U+30D7>...… https://t.co/RKj9IBZ111",FALSE,0,NA,2020-05-10 06:46:10,TRUE,NA,"1259374153309868033",NA,"<a href=""https://social-dog.net/"" rel=""nofollow"">SocialDog for Twitter</a>","brigitte_god_lu",0,FALSE,FALSE,NA,NA
