timestamp,tweet_text,all_hashtags,followers_count,sentaiment_score
5/6/20 23:49,"b'Shot, meet chaser. #GrandmaKiller #CoronavirusUSA #COVID19 https://t.co/Eg2LLKnwZr'","['GrandmaKiller', 'CoronavirusUSA', 'COVID19']",335,0
5/6/20 23:49,"b""hey @CDCgov why have two very different numbers?  https://t.co/h6Ija6J3dz https://t.co/eZiHDZwIpf This isn't okay.  How many have actually died FROM #COVID19 #CoronavirusUSA #coronavirus  we deserve to know.""","['COVID19', 'CoronavirusUSA', 'coronavirus']",89520,0.25
5/6/20 23:49,b'Twitter header. Idea from @actdottv #COVID19  #coronavirusuk  #CoronavirusUSA  #NHS https://t.co/SwV6oSTLCB',"['COVID19', 'coronavirusuk', 'CoronavirusUSA', 'NHS']",346,0
5/6/20 23:48,b'This! #coronavirusUSA https://t.co/uQhkc4rGKf',['coronavirusUSA'],693,0
5/6/20 23:48,b'Going back to work after #CoronavirusUSA is gonna be a trip and a half. Will there be any customers? Will I get enough hours? Am I going to get sick and die? Will my pants fit? Who tf knows',['CoronavirusUSA'],8,-0.096190476
5/6/20 23:48,b'@RepAdamSchiff Schiff\xe2\x80\x99s caught hiding Russia probe transcripts!!!  VERDICT:   GUILTY  SCHIFF IS AN AGENT OF RUSSIA  #EnemyOfThePeople #DeepStateExposed #CriminalNegligence #LockHimUp #Russia #CoronavirusUSA #COVID19',"['EnemyOfThePeople', 'DeepStateExposed', 'CriminalNegligence', 'LockHimUp', 'Russia', 'CoronavirusUSA', 'COVID19']",804,-0.5
5/6/20 23:47,"b""More #COVID19 fall out. Former #Colts great Gary Brackett announces he's shutting  down his restaurants. #NFL #CoronavirusUSA https://t.co/M616YB916W""","['COVID19', 'Colts', 'NFL', 'CoronavirusUSA']",3318,0.286111111
5/6/20 23:46,"b""Coronavirus: #Pompeo admits US 'not certain' #COVID19  came from #WuhanLab #CoronavirusUSA #COVIDIOT #China https://t.co/8iIAQsbUmu https://t.co/GSeQ4YslMb""","['Pompeo', 'COVID19', 'WuhanLab', 'CoronavirusUSA', 'COVIDIOT', 'China']",300,-0.107142857
5/6/20 23:46,"b'#MAGATs -  Remember the ""F*ck your feelings"" t-shirt?  #CoronavirusUSA doesn\'t care about your freedom of choice.  Science tells you what works and what doesn\'t.  This whole ""masks are tyranny"" bit is looney fucking tunes.'","['MAGATs', 'CoronavirusUSA']",7785,-0.2
5/6/20 23:45,b'Trump Is Set To Commit Premeditated Murder On Tens Of Thousands Blacks As Policy .... #TrumpDeathClock #TrumpGenocide #CoronavirusUSA #CoronavirusOutbreak https://t.co/I8LAjOxBbZ via @YouTube',"['TrumpDeathClock', 'TrumpGenocide', 'CoronavirusUSA', 'CoronavirusOutbreak']",2589,0
5/6/20 23:45,b'Let\xe2\x80\x99s not forget Romance // #fashion #editorial #CoronavirusUSA #models #photographers https://t.co/gWBfxJlsoZ',"['fashion', 'editorial', 'CoronavirusUSA', 'models', 'photographers']",1046,0
5/6/20 23:45,b'@realDonaldTrump Captain BONE SPURS dodged VIETNAM now #CoronavirusUSA NOT A LEADER  he is a coward',['CoronavirusUSA'],93,0
5/6/20 23:44,b'#retweet this !!!!!!!!!!! #CoronavirusUSA #Coronavirustruth #CoronavirusOutbreak https://t.co/Hj3BDrrpuo',"['retweet', 'CoronavirusUSA', 'Coronavirustruth', 'CoronavirusOutbreak']",541,0
5/6/20 23:43,"b""Nurse tells Trump she has been using the same #N95 mask for 'a few WEEKS' and supplies are 'sporadic' - so he lashes back 'sporadic for you' as he boasts PPE crisis is over at event to honor National #Nurses Day #CoronavirusUSA via https://t.co/M8aETvLu8u https://t.co/ZxeZlfUdif""","['N95', 'Nurses', 'CoronavirusUSA']",779,-0.066666667
5/6/20 23:43,b'texas be like despite WHO warnings #CoronavirusUSA https://t.co/57JY3o3Gcr',['CoronavirusUSA'],4,0
5/6/20 23:42,"b'""they\xc2\xa0typically mutate to weaker forms"" #covid-19  #CoronavirusUSA  #ReOpenAmerica #ReOpenPA  Doctors react to study revealing COVID-19 mutations may be weakening: \'This is virology 101\' https://t.co/RbXWEGBxc4'","['covid', 'CoronavirusUSA', 'ReOpenAmerica', 'ReOpenPA']",722,-0.166666667
5/6/20 23:41,b'This is my great Aunt.  She died of Covid. She was an amazing nurse.  https://t.co/JsUSpLAwNM #NursesWeek #CoronavirusUSA #COVID19',"['NursesWeek', 'CoronavirusUSA', 'COVID19']",2777,0.7
5/6/20 23:40,b'What do people even do if they don\xe2\x80\x99t play video games rn??? #quarantine #CoronavirusUSA #COVID19 #',"['quarantine', 'CoronavirusUSA', 'COVID19']",78,0
5/6/20 23:40,b'Going back to work in 2020 is equal to sipping purple Kool Aid in 1978!  #CoronaVirus #CoronaVirusUSA  #CoronaVirusPandemic',"['CoronaVirus', 'CoronaVirusUSA', 'CoronaVirusPandemic']",331,0
5/6/20 23:39,"b'More fake hyped info , because the #truth isn\xe2\x80\x99t big enough. @realDonaldTrump your instincts were on point about #CoronavirusUSA   #OPENAMERICANOW https://t.co/5m1BU4qWwx'","['truth', 'CoronavirusUSA', 'OPENAMERICANOW']",96,0
5/6/20 23:38,b'Blue Angels flying over the biggest reopened cities in America! Talk about \xe2\x80\x9cride into the danger zone\xe2\x80\x9d  #topgun #dangerzone #coronavirus #COVID19 #COVIDIOT #sadnessisoverparty #tiktokdown #america #CoronavirusUSA #BlueAngelsFlyover #BlueAngels @BlueAngels #Trump https://t.co/FnHqne1HYe',"['topgun', 'dangerzone', 'coronavirus', 'COVID19', 'COVIDIOT', 'sadnessisoverparty', 'tiktokdown', 'america', 'CoronavirusUSA', 'BlueAngelsFlyover', 'BlueAngels', 'Trump']",12,0
5/6/20 23:34,b'Report: White House looks into lawsuits against China  #CoronavirusUSA  https://t.co/HO3pWHTHxE',['CoronavirusUSA'],11773,0
5/6/20 23:34,b'If this was a season of Big Brother you would all be at home right now. #CoronavirusUSA #coronapocalypse #BigBrother',"['CoronavirusUSA', 'coronapocalypse', 'BigBrother']",599,0.142857143
